waveform	V_in	V_out
t0	4/22/2022  09:49:08,307853	4/22/2022  09:49:08,307864
delta t	0,000250	0,000250

time	V_in	V_out
4/22/2022  09:49:08,350603	2,524258E+0	2,855321E-3
4/22/2022  09:49:08,350853	2,522005E+0	9,242081E-4
4/22/2022  09:49:08,351103	2,521683E+0	1,567913E-3
4/22/2022  09:49:08,351353	2,522649E+0	-4,134846E-5
4/22/2022  09:49:08,351603	2,522971E+0	2,211617E-3
4/22/2022  09:49:08,351853	2,522971E+0	2,211617E-3
4/22/2022  09:49:08,352103	2,522327E+0	2,533469E-3
4/22/2022  09:49:08,352353	2,523936E+0	3,177174E-3
4/22/2022  09:49:08,352603	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,352853	2,521683E+0	3,177174E-3
4/22/2022  09:49:08,353103	2,523293E+0	1,567913E-3
4/22/2022  09:49:08,353353	2,522005E+0	1,567913E-3
4/22/2022  09:49:08,353603	2,524580E+0	1,889765E-3
4/22/2022  09:49:08,353853	2,524258E+0	3,177174E-3
4/22/2022  09:49:08,354103	2,523614E+0	1,567913E-3
4/22/2022  09:49:08,354353	2,522971E+0	2,855321E-3
4/22/2022  09:49:08,354603	2,524902E+0	1,889765E-3
4/22/2022  09:49:08,354853	2,523614E+0	3,820878E-3
4/22/2022  09:49:08,355103	2,524580E+0	2,805037E-4
4/22/2022  09:49:08,355353	2,523936E+0	1,889765E-3
4/22/2022  09:49:08,355603	2,522327E+0	2,211617E-3
4/22/2022  09:49:08,355853	2,523614E+0	2,533469E-3
4/22/2022  09:49:08,356103	2,522649E+0	3,499026E-3
4/22/2022  09:49:08,356353	2,522971E+0	3,499026E-3
4/22/2022  09:49:08,356603	2,522327E+0	3,499026E-3
4/22/2022  09:49:08,356853	2,523614E+0	2,533469E-3
4/22/2022  09:49:08,357103	2,521683E+0	1,889765E-3
4/22/2022  09:49:08,357353	2,521683E+0	3,177174E-3
4/22/2022  09:49:08,357603	-2,373051E+0	-6,604814E-1
4/22/2022  09:49:08,357853	-2,486343E+0	-5,025029E-2
4/22/2022  09:49:08,358103	-2,492780E+0	-7,122097E-3
4/22/2022  09:49:08,358353	-2,493745E+0	-3,259870E-3
4/22/2022  09:49:08,358603	-2,494389E+0	-1,650609E-3
